commenter_co,commenter_movie,commenter_name,commenter_page,commenter_star,commenter_time,commenter_zan
" 大脸是萌，方脸是萌，大嘴是萌，大脚是萌，腿短是萌，矮是萌，圆也是萌~~
嘤嘤嘤，什么都干得出来的人类啊，为什么那么萌放到乃们身上全部都不行了呢
        ",昆塔：反转星球 短评,颜禾,https://www.douban.com/people/4288733/,还行,"
                    2017-09-16
                ",9
" 少数可以拿得出手的国产动画之一 无论是特效还是人物设计都超过预想 话说几乎每一个动画片的女主都能吸引我 嘎嘎好可爱的说！
        ",昆塔：反转星球 短评,Smurfette,https://www.douban.com/people/74091502/,力荐,"
                    2017-10-01
                ",16
" 惊艳
        ",昆塔：反转星球 短评,几千块,https://www.douban.com/people/jqk4388/,推荐,"
                    2017-10-01
                ",13
,昆塔：反转星球 短评,,,,,
,昆塔：反转星球 短评,,,,,
" 剧情虽然简单，但是两位主演又贱又逗逼，这年头已经不兴男欢女爱了，哥哥你坐船头弟弟在岸上走。（电影里那辆掉到运河里的车，是拍摄意外真的掉进去了，后来还找保险公司和剧组给车主赔了钱233333…
        ",王牌保镖 短评,李阿斗,https://www.douban.com/people/gailsylee/,推荐,"
                    2017-08-18
                ",895
" 哈哈哈是谁说的哥哥你坐船头我在岸上走哈哈哈！这波必须服！
        ",王牌保镖 短评,Daisy cat,https://www.douban.com/people/Dasiycat/,还行,"
                    2017-08-21
                ",606
" 被局长和他老婆的R级爱情感动到无法自拔——oh my cockroach (with Spanish accent
        ",王牌保镖 短评,艺仔小太妹,https://www.douban.com/people/yancm/,推荐,"
                    2017-08-21
                ",554
" Motherfucker只有在Samuel Jackson嘴里冒出来才叫Motherfucker。
        ",王牌保镖 短评,幻覺大師,https://www.douban.com/people/edward1988/,还行,"
                    2017-08-29
                ",420
" 这部片子好玩的地方就在于，你完全可以猜到故事即将发生的剧情走向，但你依然会兴致盎然的看完整部电影，于是原本俗套的故事在瑞恩·雷诺兹和塞缪尔·杰克逊的演绎下以枪战+嘴炮的形式呈现也变得十分十分有趣，当然两条爱情故事的穿插也融合的恰到好处。但加里·奥德曼无疑是十分鸡肋的一个角色。
        ",王牌保镖 短评,方枪枪,https://www.douban.com/people/yalindongdong/,还行,"
                    2017-08-30
                ",363
" 艹！好鬼浪漫！！！没有人能杀死丧基达利！黑塞有情有义有嘻哈！小贱贱表示：局长令我成长，并懂得爱的真谛【并没有
        ",王牌保镖 短评,飞鸟凉,https://www.douban.com/people/maybe-stella/,推荐,"
                    2017-08-20
                ",229
" 能够把老套的黑白双雄加保镖杀手故事拍摄的如此无脑爆笑又浪漫鸡汤，再配上80年代的老情歌，导演和编剧成功的让欢乐严重的掩盖了暴力和血腥。尽管有不少动作片的常规硬伤，依然强烈推荐。
        ",王牌保镖 短评,Carf,https://www.douban.com/people/4340710/,推荐,"
                    2017-08-27
                ",242
" Ryan Reynold演龟毛丧逼比演死侍好笑！不过总感觉抢了Paul Rudd饭碗
        ",王牌保镖 短评,王大根,https://www.douban.com/people/diewithme/,推荐,"
                    2017-08-21
                ",209
" 乐到肚子疼。前排黑人大哥大姐的魔性笑声与杰克逊的交相辉映，为本片添色不少
        ",王牌保镖 短评,非正常儿童,https://www.douban.com/people/3539800/,推荐,"
                    2017-08-19
                ",151
" 一黑一白，全程互怼，由敌变友，都是经典套路，但由于演员的缘故有额外趣味: 竟然有人在嘴炮方面压制了贱贱，大快人心。小贱坐在街头喝酒忧伤控诉局长，身后一片鸡飞狗跳，瞬间跳戏到UNCLE里亨利吃三明治身后锤子跟人搏斗，小贱被拷打时局长现身也是UNCLE同款。局长在窗口放花一幕，想起丁典和凌霜华。
        ",王牌保镖 短评,张天翼,https://www.douban.com/people/wisely1229/,推荐,"
                    2017-08-30
                ",93
" 娱乐性极强的电影：精致欧洲 霸气武装 给力枪战动作 经典动作片的优秀元素全都继承了过来 配合上不断的笑料和超级英雄式的非人类光环 好不热闹 还很浪漫。 Ryan Reynolds各种帅 河边摩托戏全程替身戴头盔不露脸都被电影自己吐槽了：没见过头盔戴的这么紧的，解都解不开。
        ",王牌保镖 短评,ZMike,https://www.douban.com/people/49145944/,推荐,"
                    2017-08-28
                ",100
" 贱贱会成为下一个金·凯瑞吗？至少这话痨程度快赶上了...
        ",王牌保镖 短评,同志亦凡人中文站,https://www.douban.com/people/3540441/,还行,"
                    2017-09-05
                ",45
" 贱到家了，阿姆斯特丹城市疯狂漫游。貌似保镖枪战动作飞车，实际上是老黑哥哥教小白弟弟如何泡妞御妹致胜。以及，白俄罗斯啊，都被黑俄罗斯了。
        ",王牌保镖 短评,木卫二,https://www.douban.com/people/MovieL/,还行,"
                    2017-08-27
                ",62
" 两星半。加里·奥德曼竟然接了个这么鸡肋的反派角色。
        ",王牌保镖 短评,痞影人科莱昂,https://www.douban.com/people/pirealwei/,较差,"
                    2017-08-27
                ",35
" 王牌保镖搭档头号杀手本是一场好戏，谁料拍得如此平庸，整部电影相当沉闷，情节不带感，演员不来电，喜剧和动作两边不讨好，看得我争分夺秒按快进，硬要说个亮点的话，也就是反派Boss加里·奥德曼，虽然角色刻画得很Low，但是气场特别强大！（温馨提示：9月22日内地上映，去电影院烧钱能免则免）
        ",王牌保镖 短评,仲山奥理,https://www.douban.com/people/zhongshanaoli/,较差,"
                    2017-08-30
                ",28
" 为什么觉得闷？？？
        ",王牌保镖 短评,帕拉多克斯,https://www.douban.com/people/58059498/,较差,"
                    2017-08-29
                ",38
" 此片国内还会引进公映呢，好奇内地版会被删成什么样……不过这几年领导们的口味也越来越重了，这种打嘴炮的片子估计可以通过改字幕来解决很多问题~~~（内地公映版居然神奇地没有删减或者我没有发现删减，可以可以）
        ",王牌保镖 短评,张小北,https://www.douban.com/people/xzfd/,推荐,"
                    2017-09-01
                ",32
" 太基(。-＿-。)而且这帮杀手跟John Wick比起来真是太没职业道德了!!! o(*≧▽≦)ツ ~ ~~233333
        ",王牌保镖 短评,彼岸盆花,https://www.douban.com/people/mathildaren/,推荐,"
                    2017-08-18
                ",52
" 三星半motherfucker
        ",王牌保镖 短评,面条面包面饼,https://www.douban.com/people/50782420/,还行,"
                    2017-08-31
                ",39
" 这年头拍动作片不玩点有趣的人物设计或者有个好的音乐品味，好像都无法立足阵脚了哈哈。一向让我觉得”伟光正“的Ryan Reynolds这两年太好玩了...这角色的丧气和喜感和小贱贱一样深得我心！感染得连和Jackson搭戏都是火花十足。本想随便看看就算了，但这份好玩劲还是让我愿意去电影院再放松一把~
        ",王牌保镖 短评,基瑞尔,https://www.douban.com/people/stevecarell/,还行,"
                    2017-08-29
                ",20
,王牌保镖 短评,,,,,
,王牌保镖 短评,,,,,
